inserttime,period,max,min,mean,vol,fd,returnVal
2022-12-18 23:41:38,1,1.565595,1.56519055,1.565447302916667,0.00025836066103691175,,0.0
2022-12-18 23:47:41,2,1.565985,1.565445,1.5657288770833357,0.00034488729683896833,2250010.3863272266,0.00017986818600935112
2022-12-18 23:53:21,3,1.565865,1.564565,1.5652495265277795,0.0008305385039048002,520144.45804612286,-0.000306151698785296
2022-12-18 23:59:13,4,1.5656805999999999,1.5644559500000002,1.565176932638891,0.0007824355026335293,402589.0938483362,-4.6378476823193704e-05
2022-12-19 00:05:19,5,1.567485,1.5653549999999998,1.5662112525000043,0.0013599697975609976,265447.07143307594,0.0006608325484132251
2022-12-19 00:11:16,6,1.5676549999999998,1.5670950000000001,1.5673321773611086,0.000357295031703193,417022.3114766822,0.0007156919983272657
2022-12-19 00:17:13,7,1.568965,1.5676350000000001,1.5684465827777785,0.0008479727742109972,286565.804221841,0.0007110205690705313
2022-12-19 00:23:02,8,1.569105,1.5686149999999999,1.568894200277779,0.0003123218888267577,723612.4270667442,0.00028538906260218606
2022-12-19 00:28:58,9,1.5694249999999998,1.568645,1.5690388033333338,0.0004971196367755311,1279370.1011798468,9.216877436932703e-05
2022-12-19 00:34:49,10,1.569375,1.5688849999999999,1.5691237118055574,0.00031227620633956826,1261703.5560229828,5.41149600910191e-05
2022-12-19 00:40:52,11,1.569505,1.568715,1.5691337073611111,0.0005034625132924,1227499.5331004497,6.370151364418135e-06
2022-12-19 00:46:52,12,1.5687350000000002,1.567805,1.5682822509722192,0.0005930054997585978,736924.0254565853,-0.0005426283208993596
2022-12-19 00:52:38,13,1.5686849999999999,1.567855,1.5682324877777782,0.0005292582614303672,604619.7543240454,-3.173101934303872e-05
2022-12-19 00:58:39,14,1.5687350000000002,1.567805,1.5683130218055554,0.0005929938647895917,807765.5241339817,5.13533729245139e-05
2022-12-19 01:05:06,15,1.569055,1.5680494500000002,1.5685466708333333,0.0006410711384607286,840780.324776731,0.00014898111826483457
2022-12-19 01:11:07,16,1.5691350000000002,1.567805,1.568491796805554,0.0008479483301787108,483520.02758657443,-3.4983994292058965e-05
2022-12-19 01:16:58,17,1.5693663500000001,1.5686278,1.56904078861111,0.00047070159384057076,868915.6895834318,0.0003500125449645287
2022-12-19 01:22:58,18,1.5688149999999998,1.5679750000000001,1.5683772604166684,0.0005355854239920365,1168814.4821680358,-0.00042288779186482647
2022-12-19 01:28:56,19,1.5685950000000002,1.567555,1.5681735534722223,0.0006631919009840475,765992.4665036274,-0.00012988389310868265
2022-12-19 01:34:45,20,1.569105,1.567755,1.56837450694444,0.0008607637997317859,485615.2177057735,0.00012814491850895868
2022-12-19 01:40:51,21,1.569235,1.5677349999999999,1.5683771568055573,0.0009564026060257279,340860.6354123949,1.6895589068094299e-06
2022-12-19 01:46:42,22,1.568195,1.567215,1.5678027159722192,0.000625078646704772,355155.3091284076,-0.00036626447334143846
2022-12-19 01:52:34,23,1.567805,1.567065,1.5674387651388886,0.0004721077572267345,1105679.777571001,-0.00023214070853610995
2022-12-19 01:58:31,24,1.5676549999999998,1.5670950000000001,1.567365125972223,0.0003572875207698071,1592554.9226405667,-4.698057002504936e-05
2022-12-19 02:04:51,25,1.567265,1.5666250000000002,1.5669622352777797,0.0004084335828848468,2502242.8194601745,-0.00025704967385529624
2022-12-19 02:10:56,26,1.567485,1.5663049999999998,1.5669018431944437,0.0007530784427405576,1187127.3286573032,-3.854086714812472e-05
2022-12-19 02:16:42,27,1.5676549999999998,1.5665049999999998,1.566908823194443,0.0007339291112392166,649926.5292728343,4.454650448999095e-06
2022-12-19 02:22:34,28,1.5679750000000001,1.5667749999999998,1.5673760065277775,0.000765610801111268,461069.7752534681,0.00029815604227823944
2022-12-19 02:28:47,29,1.567855,1.566795,1.5673352593055536,0.000676307123001699,622498.2492147172,-2.599709454158436e-05
2022-12-19 02:35:16,30,1.5674649999999999,1.566405,1.5668584097222231,0.0006765129468129532,829252.4225040574,-0.0003042422356667816
2022-12-19 02:41:43,31,1.567805,1.5671149999999998,1.5673833066666663,0.0004402241602709764,1131241.8648114637,0.00033499960250791703
2022-12-19 02:47:41,32,1.5674649999999999,1.566655,1.56710133763889,0.0005168778690600717,1567101.3376389337,-0.00017989793981912355
2022-12-19 02:53:40,33,1.5677050000000001,1.5659649999999998,1.5668133815277774,0.0011105342987967385,734781.4478887633,-0.00018375079147498437
2022-12-19 02:59:43,34,1.5664250000000002,1.565305,1.5659032262499974,0.0007152421562361755,503326.0370088235,-0.0005808957777042052
2022-12-19 03:06:00,35,1.565305,1.5637150000000002,1.5642657151388915,0.0010164513513348861,307934.0684519166,-0.0010457294446141999
2022-12-19 03:12:12,36,1.565525,1.564515,1.5649891051388873,0.0006453719049439142,548520.9338803868,0.000462447008200044
2022-12-19 03:18:33,37,1.5657450000000002,1.564565,1.565037015555557,0.0007539757771040989,680393.2109998964,3.061389789386855e-05
2022-12-19 03:24:30,38,1.565035,1.563585,1.5640316854166672,0.0009270911922821198,488625.0713750166,-0.0006423682819623622
2022-12-19 03:30:17,39,1.5639850000000002,1.5635150000000002,1.5637448305555586,0.0003005605459510881,1227706.0478192284,-0.00018340732082557305
2022-12-19 03:36:33,40,1.5645449999999999,1.563565,1.5640178993055556,0.0006265912944058324,1812984.0138893349,0.00017462487783251825
2022-12-19 03:42:35,41,1.564495,1.563585,1.5639455862500007,0.0005818616760075056,711509.310667609,-4.623543988019094e-05
2022-12-19 03:48:44,42,1.566745,1.564495,1.5655016708333307,0.0014372389643010665,167682.6234092526,0.0009949736084240365
2022-12-19 03:54:32,43,1.566525,1.5651549999999999,1.5657740608333333,0.0008749665959282495,238866.26183514186,0.0001739953428842839
2022-12-19 04:00:37,44,1.565595,1.5647350000000002,1.5652591973611143,0.0005494297694910486,766248.9791734137,-0.00032882360558773274
2022-12-19 04:06:33,45,1.565645,1.5640749999999999,1.5648404627777808,0.0010032971650113978,736571.4025431386,-0.0002675177274405881
2022-12-19 04:13:30,46,1.5645449999999999,1.562075,1.5630851025000014,0.00158020826636325,261990.7823623749,-0.001121750312273599
2022-12-19 04:19:40,47,1.563615,1.561665,1.5625141434722185,0.0012479887034280578,236380.3447817072,-0.00036527699411230494
2022-12-19 04:25:56,48,1.5625149999999999,1.561055,1.5618252688888898,0.0009348036743178478,341248.12381892186,-0.00044087574260150516
2022-12-19 04:32:34,49,1.562735,1.560365,1.5613102134722232,0.0015179558678024027,263512.2723159889,-0.0003297778739570859
2022-12-19 04:38:49,50,1.5633949999999999,1.5622250000000002,1.5628589350000022,0.0007486280263673764,335279.99374795787,0.000991937101554428
2022-12-19 04:45:15,51,1.563145,1.5612249999999999,1.562396488750001,0.0012288814099526326,489876.39907678653,-0.00029589762687131803
2022-12-19 04:51:24,52,1.5620949999999998,1.5606849999999999,1.561373133888888,0.0009030512754424345,382038.1072281562,-0.0006549905023990885
2022-12-19 04:58:02,53,1.563535,1.561055,1.5621160143055521,0.0015875901516202778,333839.3095088727,0.0004757866012551126
2022-12-19 05:04:15,54,1.564105,1.5633949999999999,1.563786635972223,0.00045402613353246607,588071.8757809293,0.0010694606875364203
