window,balance,returnVal,position
1,200.00067580347448,0.0006758034744867665,LONG
2,300.00052902864684,-0.00014677482760475444,LONG
3,299.9990649096682,-0.0014641189786389628,LONG
4,299.996895051859,-0.0021698578092303996,LONG
5,399.99681096471227,-8.408714672368767e-05,LONG
6,499.9991045314022,0.0022935666899637592,LONG
7,599.9995392149572,0.00043468355484723516,LONG
8,700.0001662636423,0.0006270486851624407,LONG
9,800.0000648434191,-0.00010142022323400871,LONG
