inserttime,period,max,min,mean,vol,fd,returnVal
2022-12-18 23:41:50,1,0.9324,0.9319999999999999,0.9321944822222206,0.00042909500928016995,,0.0
2022-12-18 23:47:43,2,0.9324,0.9319999999999999,0.9322570380555545,0.0004290662163670685,1468304.8349372526,6.710598971235836e-05
2022-12-18 23:53:21,3,0.9324,0.9319,0.9321948238888881,0.0005363685650110979,1331174.208513183,-6.673499273995327e-05
2022-12-18 23:59:17,4,0.9324,0.9319,0.9321649412499988,0.000536385759509014,1366553.8038723452,-3.205621627954645e-05
2022-12-19 00:05:22,5,0.9327,0.9318835,0.9323385198611102,0.0008757548707969625,906646.3989831273,0.00018621019031092635
2022-12-19 00:11:18,6,0.9327,0.9324,0.9325579200000003,0.00032169583632935835,1380185.7216001526,0.00023532240084083003
2022-12-19 00:17:12,7,0.9328000000000001,0.9325,0.9326795593055547,0.0003216538810215258,3174219.4335024124,0.00013043619376952134
2022-12-19 00:23:02,8,0.9329000000000001,0.9325,0.932701796805554,0.00042886161618862774,2219830.276396847,2.384259392996414e-05
2022-12-19 00:28:58,9,0.933,0.9326,0.9327379562499996,0.0004288449905139873,1933099.4143278005,3.876849446352025e-05
2022-12-19 00:34:54,10,0.9330107000000001,0.9327,0.9328246158333309,0.0003330744008320867,2684084.990520462,9.290882047914587e-05
2022-12-19 00:40:54,11,0.933,0.93265,0.93283525611111,0.0003752002271646388,2635925.9094105624,1.1406514792256331e-05
2022-12-19 00:46:47,12,0.933,0.9327,0.9328309354166663,0.00032160168430314483,2552847.326589613,-4.631787247926121e-06
2022-12-19 00:52:39,13,0.933,0.9327,0.9328286269444441,0.0003216024801712532,3367511.343268568,-2.474695182708071e-06
2022-12-19 00:58:49,14,0.933,0.93265,0.9328169861111117,0.0003752075757745502,3014331.4608327113,-1.2479069569844807e-05
2022-12-19 01:05:04,15,0.933,0.9325,0.932756813333334,0.0005360454009585173,1876706.708426458,-6.450652022167739e-05
2022-12-19 01:11:12,16,0.9331,0.9326,0.9328168206944429,0.0005360109175859704,1147364.6894540363,6.433333989215161e-05
2022-12-19 01:17:00,17,0.9332,0.9329000000000001,0.9330066676388882,0.0003215411104822664,1987304.2020710506,0.00020352006978594647
2022-12-19 01:23:00,18,0.9331,0.93275,0.9329333315277775,0.00037516078391894336,3206625.1366505255,-7.860191534997178e-05
2022-12-19 01:28:59,19,0.9331,0.9327,0.9328956312499994,0.00042877250852177494,1872787.9797340601,-4.041047361478014e-05
2022-12-19 01:34:51,20,0.9329000000000001,0.9325,0.9326876605555565,0.00042886811621567554,2483280.8962287535,-0.00022293029088820055
2022-12-19 01:40:52,21,0.9329000000000001,0.9322117,0.932594264444444,0.0007380487166196689,1231626.01537105,-0.00010013653558667691
2022-12-19 01:46:42,22,0.9325,0.9319999999999999,0.9322409730555541,0.000536342012903846,1131740.541289316,-0.0003788264654409095
2022-12-19 01:52:34,23,0.9325,0.9319,0.9321858580555549,0.0006436484686128838,1261558.194568423,-5.912098008154476e-05
2022-12-19 01:58:31,24,0.9326,0.93216,0.9323322734722217,0.0004719347517182194,1284075.8130094807,0.00015706676453151812
2022-12-19 02:04:55,25,0.9324,0.9316,0.931974999583333,0.0008583921246360542,1102060.4370072596,-0.0003832044637456996
2022-12-19 02:10:56,26,0.9322,0.9315,0.9318472626388897,0.0007511960683532088,604369.5103400506,-0.00013706048391892898
2022-12-19 02:16:42,27,0.9319,0.9314,0.9316706086111108,0.0005366703590073755,810553.4294917558,-0.00018957401589464747
2022-12-19 02:22:34,28,0.9319999999999999,0.9316,0.9317801080555553,0.0004292858331507833,1446588.6177564089,0.00011753021232228261
2022-12-19 02:28:47,29,0.931805,0.9312,0.9315270120833327,0.0006494712361017874,1504300.645959448,-0.00027162628825682327
2022-12-19 02:35:16,30,0.9315,0.9312,0.9313228523611112,0.00032212245113431934,1927838.3043877126,-0.00021916672256753315
2022-12-19 02:41:45,31,0.9315,0.931,0.931329847500001,0.0005368667195001977,1937166.0828002153,7.510970950690143e-06
2022-12-19 02:47:41,32,0.9315,0.931,0.9312169545833316,0.0005369318047088903,1264592.6243243036,-0.00012121689965421461
2022-12-19 02:53:40,33,0.9314,0.929975,0.9307078970833326,0.0015310926279509366,530993.3475991188,-0.000546658324350261
2022-12-19 02:59:43,34,0.9307,0.9299999999999999,0.9303429305555568,0.0007524107262061174,360175.62025791954,-0.00039213863868510425
2022-12-19 03:06:00,35,0.9306,0.9299,0.9301859463888896,0.0007525377078825267,773383.1725690108,-0.00016873795834989922
2022-12-19 03:12:14,36,0.9306,0.9300999999999999,0.9303298837500004,0.000537443769928836,1019641.5525898862,0.00015474041686989578
2022-12-19 03:18:33,37,0.9307,0.9299,0.9302794216666661,0.000859956676851738,965164.8999791384,-5.424106461124657e-05
2022-12-19 03:24:30,38,0.9303,0.9291,0.9294495401388871,0.001291086764990667,421350.4581963029,-0.0008920777010117759
2022-12-19 03:30:24,39,0.9298,0.9292,0.9294089284722223,0.0006455715903076418,458508.40471301356,-4.36943211126169e-05
2022-12-19 03:36:34,40,0.9296,0.9291,0.929303585277778,0.0005380373087127281,1314035.2695829228,-0.00011334428927586737
2022-12-19 03:42:38,41,0.9297,0.9292,0.9295124838888895,0.0005379163902221599,1290163.3276379206,0.00022479049303254951
2022-12-19 03:48:44,42,0.930223,0.9295,0.9299598022222221,0.0007774529590121595,1000703.632266749,0.00048123972629293796
2022-12-19 03:54:33,43,0.929825,0.9289000000000001,0.929429791249999,0.00099523386135053,566700.9754216494,-0.0005699289054823025
2022-12-19 04:00:37,44,0.9293,0.9289000000000001,0.9290979340277772,0.0004305251204960673,840833.6302952309,-0.000357054642906943
2022-12-19 04:06:35,45,0.9294,0.9288000000000001,0.9291523590277778,0.0006457498537998077,1540844.3287212346,5.85783242081863e-05
2022-12-19 04:13:30,46,0.92952,0.9287,0.9290751673611096,0.0008825981242498631,793112.9477472472,-8.307751244259543e-05
2022-12-19 04:19:40,47,0.9293,0.9287,0.9290193183333335,0.0006458423287434417,698312.8542805034,-6.0112496532160836e-05
2022-12-19 04:25:56,48,0.9293,0.9284,0.9287766334722224,0.0009690166263500522,566553.7464180482,-0.0002612269264179544
2022-12-19 04:32:34,49,0.9293,0.9286449999999999,0.928925411666666,0.0007051158163763436,547427.7998523565,0.0001601872711713069
2022-12-19 04:38:49,50,0.9294,0.9289000000000001,0.9292250063888877,0.000538082807244956,1148522.1078967918,0.00032251752235328777
