window,balance,returnVal,position
1,200.00033672596132,0.0003367259613189538,SHORT
2,299.9997214235518,-0.000615302409540276,SHORT
3,399.99803529611387,-0.0016861274379422332,SHORT
4,499.99791246902333,-0.00012282709051405013,SHORT
5,599.9976974167523,-0.00021505227097700041,SHORT
6,599.9989952064877,0.0012977897353943278,SHORT
7,699.9993033713358,0.00030816484806027233,SHORT
8,799.9994131365535,0.0001097652175985938,SHORT
9,899.999771556346,0.00035841979257539096,SHORT
