window,balance,returnVal,position
1,200.00011109519917,0.00011109519916930019,SHORT
2,300.0002281736947,0.00011707849558145255,SHORT
3,400.00003847076255,-0.00018970293215288687,SHORT
4,499.9999614975439,-7.697321864075971e-05,SHORT
5,599.9998780431177,-8.345442608355557e-05,SHORT
6,699.9995589181951,-0.0003191249226107505,SHORT
7,799.99952409126,-3.482693516454423e-05,SHORT
8,899.9996162491082,9.215784810577901e-05,SHORT
9,999.9993609588829,-0.00025529022528704686,SHORT
