inserttime,period,max,min,mean,vol,fd,returnVal
2022-12-18 23:41:48,1,1.3672499999999999,1.3667500000000001,1.3669744583333334,0.0003657712819370024,,0.0
2022-12-18 23:47:41,2,1.3672499999999999,1.366935,1.3670591805555554,0.00023042162656910814,4956132.013318163,6.197791166141949e-05
2022-12-18 23:53:21,3,1.36735,1.3667250000000002,1.3669542083333324,0.00045722087557118016,2788586.5850005527,-7.678688948959391e-05
2022-12-18 23:59:17,4,1.36735,1.3667500000000001,1.3670035694444442,0.00043891619115799115,1606229.1940973988,3.611028870678215e-05
2022-12-19 00:05:23,5,1.36755,1.3670499999999999,1.3672666250000005,0.00036569312148621106,2007147.4054993305,0.00019243223751287387
2022-12-19 00:11:18,6,1.36755,1.367245,1.367356041666666,0.00022305821651852738,3868945.127732242,6.53981198915013e-05
2022-12-19 00:17:13,7,1.36785,1.367485,1.367669305555556,0.00026687737928847015,6325002.1582961725,0.00022910191591960524
2022-12-19 00:23:02,8,1.36795,1.3676499999999998,1.3677421805555565,0.0002193395833404315,5069764.349256069,5.32840794953171e-05
2022-12-19 00:28:59,9,1.36785,1.36754,1.367659347222222,0.00022666463007009493,7919188.800850424,-6.056209606757163e-05
2022-12-19 00:34:53,10,1.36776,1.36735,1.367547458333333,0.0002998067800145668,4419513.127540418,-8.18104955129249e-05
2022-12-19 00:40:54,11,1.36805,1.36755,1.3677770138888898,0.0003655566623234407,2801207.324444755,0.0001678592974292035
2022-12-19 00:46:53,12,1.36785,1.367295,1.3675740277777793,0.000405828122446814,2296538.727727386,-0.0001484058505512147
2022-12-19 00:52:39,13,1.36785,1.3672499999999999,1.3675746111111124,0.0004387329182081513,1752774.7932402869,4.2654607454099244e-07
2022-12-19 00:58:49,14,1.36785,1.3674499999999998,1.3676186527777772,0.0002924791930760347,2410427.87551976,3.220421489759567e-05
2022-12-19 01:05:05,15,1.36775,1.36715,1.3674198472222217,0.00043878257377847387,2370194.401852112,-0.00014536622116970957
2022-12-19 01:11:12,16,1.3674499999999998,1.367005,1.3672526111111105,0.0003254702140507695,2236763.822223193,-0.00012230048543675814
2022-12-19 01:16:59,17,1.36755,1.3670749999999998,1.3672950555555552,0.00034740124164877104,2556122.124911068,3.104360094085703e-05
2022-12-19 01:23:00,18,1.36735,1.3669449999999999,1.36708659722222,0.0002962504356513547,3162864.547151984,-0.00015246038701615183
2022-12-19 01:28:59,19,1.3672499999999999,1.36685,1.367088444444443,0.00029259262751102236,2737594.610000299,1.351210835463482e-06
2022-12-19 01:34:51,20,1.3674499999999998,1.366905,1.3671261388888887,0.00039864646318790763,3092966.1087167556,2.7572791357245886e-05
2022-12-19 01:40:52,21,1.3674499999999998,1.3669799999999999,1.3671761805555536,0.0003437742748041335,2024584.301418564,3.660354757430155e-05
2022-12-19 01:46:42,22,1.36735,1.366835,1.367019222222223,0.00037673208366657823,2442053.7562026014,-0.0001148047600322692
2022-12-19 01:52:34,23,1.3674499999999998,1.36691,1.3671104999999995,0.00039499367461500964,2177250.0555565106,6.67713930371942e-05
2022-12-19 01:58:31,24,1.36735,1.36685,1.3670438611111124,0.00036575271227491895,2717683.195887984,-4.874433258103666e-05
2022-12-19 02:04:55,25,1.3670499999999999,1.3663699999999999,1.3666555833333331,0.0004975650107406462,2056012.7378676045,-0.00028402730067760343
2022-12-19 02:10:56,26,1.36695,1.366245,1.3665174305555547,0.000515909994440072,1124227.1059886836,-0.00010108821817523258
2022-12-19 02:16:42,27,1.3667500000000001,1.3663500000000002,1.3664847916666651,0.00029272188204311196,1875500.3765627043,-2.3884721965334203e-05
2022-12-19 02:22:35,28,1.36685,1.36625,1.3664999861111096,0.0004390779407963698,2216007.477477093,1.111936593592791e-05
2022-12-19 02:28:48,29,1.3667500000000001,1.366285,1.3664831111111098,0.00034028960637651835,1848425.5416958984,-1.2349067084756736e-05
