window,balance,returnVal,position,balance_pre,returnVal_predict
1,200.00075590720652,0.0007559072065199176,SHORT,300.00075590720655,0
2,300.0018859904959,0.0011300832893457095,SHORT,400.00075590720655,0
3,300.0032550508746,0.001369060378714038,SHORT,500.00075590720655,0
4,400.00357672472893,0.0003216738543273766,SHORT,600.0007559072066,0
5,500.0038821686648,0.00030544393585761414,SHORT,700.0007559072066,0
6,600.0031578497479,-0.0007243189168946753,SHORT,800.0007559072066,0
7,700.002223449743,-0.0009344000048727621,SHORT,900.0007559072066,0
8,800.0019205850928,-0.0003028646502716465,SHORT,1000.0007559072066,0
