inserttime,period,max,min,mean,vol,fd,returnVal,returnVal_predict,error
2022-12-20 12:30:05,1,7.78665,7.78625,7.786448236111123,5.137130407480018e-05,,,,
2022-12-20 12:38:55,2,7.78665,7.785935,7.786313944444442,9.182778977332808e-05,80465837.39235526,-1.724684510946915e-05,-7.24684510946915e-06,1e-05
2022-12-20 12:47:33,3,7.787005000000001,7.786149999999999,7.786600555555546,0.0001098040144606315,21939088.582810502,3.680960119895212e-05,4.680960119895212e-05,1e-05
2022-12-20 12:56:10,4,7.787215,7.78656,7.786924319444439,8.411536739409372e-05,20234114.796477824,4.157961957627826e-05,5.157961957627826e-05,1e-05
2022-12-20 13:04:50,5,7.78725,7.78661,7.787027472222222,8.218797253299019e-05,85645134.96393344,1.3246921833556358e-05,2.324692183355636e-05,1e-05
2022-12-20 13:12:56,6,7.78725,7.78664,7.786993180555552,7.833575628693178e-05,85656924.98611115,-4.4036914975589205e-06,5.59630850244108e-06,1e-05
2022-12-20 13:21:09,7,7.78725,7.78679,7.7870321388888835,5.907256985663161e-05,114892580.70999728,5.003000828235607e-06,1.5003000828235608e-05,1e-05
2022-12-20 13:29:16,8,7.78725,7.786849999999999,7.786984597222214,5.136776566163143e-05,139484361.59744856,-6.105235707424183e-06,3.894764292575818e-06,1e-05
2022-12-20 13:37:41,9,7.78728,7.7867999999999995,7.787075013888903,6.164060306910614e-05,130660629.50374688,1.161125536592257e-05,2.161125536592257e-05,1e-05
2022-12-20 13:46:54,10,7.7874,7.786899999999999,7.78701779166667,6.420943336429635e-05,101916488.8572088,-7.348358932130054e-06,2.651641067869947e-06,1e-05
2022-12-20 13:55:41,11,7.78728,7.786474999999999,7.787029527777775,0.000103377031913007,86808450.90959594,1.5071380879243035e-06,1.1507138087924304e-05,1e-05
2022-12-20 14:04:23,12,7.78736,7.7867049999999995,7.787001138888876,8.411453758866843e-05,65708023.35058636,-3.645663445599364e-06,6.354336554400637e-06,1e-05
2022-12-20 14:13:05,13,7.78725,7.786765,7.786972013888875,6.228351651132723e-05,76408659.4104638,-3.740207492038596e-06,6.259792507961405e-06,1e-05
2022-12-20 14:22:06,14,7.7872,7.78675,7.786956541666658,5.778894457582438e-05,143245391.67069417,-1.9869369235704375e-06,8.013063076429563e-06,1e-05
2022-12-20 14:30:17,15,7.7871500000000005,7.786630000000001,7.7868321527777775,6.67794026887244e-05,64495934.77312175,-1.5974005789692435e-05,-5.974005789692435e-06,1e-05
2022-12-20 14:38:55,16,7.78735,7.78665,7.786922513888899,8.989430660849803e-05,57089266.201813646,1.1604348128829369e-05,2.160434812882937e-05,1e-05
2022-12-20 14:46:59,17,7.787155,7.7867,7.78699618055554,5.843074652286239e-05,87556642.76851651,9.460305596871562e-06,1.9460305596871562e-05,1e-05
2022-12-20 14:55:14,18,7.78735,7.7862,7.7869725555555505,0.00014768255465078358,86069746.22058082,-3.033904144989187e-06,6.966095855010814e-06,1e-05
2022-12-20 15:03:28,19,7.787850000000001,7.786545,7.786898888888889,0.0001675891800601695,34662142.25712183,-9.460244804549586e-06,5.397551954504145e-07,1e-05
2022-12-20 15:12:33,20,7.7875499999999995,7.78695,7.787183069444451,7.704968467401071e-05,35496576.158247806,3.649470214230299e-05,4.649470214230299e-05,1e-05
2022-12-20 15:21:37,21,7.78775,7.786910000000001,7.787231986111129,0.0001078688809447905,42560931.00984118,6.281689571432775e-06,1.6281689571432777e-05,1e-05
2022-12-20 15:30:35,22,7.78825,7.786944999999999,7.787266638888889,0.00016758126574005882,72925812.71558374,4.44994804597612e-06,1.4449948045976122e-05,1e-05
2022-12-20 15:39:41,23,7.787855,7.786535000000001,7.787133624999991,0.00016951038258313788,51990915.63419477,-1.7080947021090988e-05,-7.080947021090987e-06,1e-05
2022-12-20 15:47:43,24,7.788475,7.786899999999999,7.787395250000005,0.00020224991148365935,29918430.89379491,3.3597086246685294e-05,4.359708624668529e-05,1e-05
2022-12-20 15:55:37,25,7.788295,7.786849999999999,7.787510833333332,0.0001855535139437939,43513053.61129242,1.4842361228230563e-05,2.4842361228230566e-05,1e-05
2022-12-20 16:03:53,26,7.78822,7.7869150000000005,7.787783958333335,0.0001675701338123315,34988335.132358424,3.5072182350391594e-05,4.5072182350391593e-05,1e-05
2022-12-20 16:11:32,27,7.7879950000000004,7.78725,7.78749758333334,9.566616130894899e-05,44414868.76721301,-3.67723349192532e-05,-2.67723349192532e-05,1e-05
2022-12-20 16:20:31,28,7.7879000000000005,7.787325,7.787575500000002,7.383556024598878e-05,84959062.80254425,1.0005353559087885e-05,2.0005353559087886e-05,1e-05
2022-12-20 16:28:03,29,7.78795,7.787265,7.787619680555557,8.79601249289367e-05,75716127.11305991,5.67321055896392e-06,1.567321055896392e-05,1e-05
2022-12-20 16:36:02,30,7.78805,7.78744,7.787728472222233,7.83283600828902e-05,87452360.71265958,1.3969822762126742e-05,2.3969822762126743e-05,1e-05
2022-12-20 16:43:19,31,7.7883,7.78725,7.787653833333334,0.0001348287972823132,47541772.44923672,-9.58416682938017e-06,4.158331706198309e-07,1e-05
2022-12-20 16:51:31,32,7.78885,7.78637,7.787321305555574,0.0003184663766513649,11756343.13225686,-4.269935270314444e-05,-3.269935270314444e-05,1e-05
2022-12-20 16:59:10,33,7.7890250000000005,7.787335000000001,7.788351930555569,0.0002169907080559232,5862002.163116488,0.0001323465360623678,0.0001423465360623678,1e-05
2022-12-20 17:06:57,34,7.7886500000000005,7.787305,7.788115624999998,0.00017269902820691573,14209692.002781807,-3.0340893385172942e-05,-2.034089338517294e-05,1e-05
2022-12-20 17:14:18,35,7.78815,7.787325,7.78786006944445,0.00010593410675632559,15235886.24495221,-3.281352869584032e-05,-2.281352869584032e-05,1e-05
2022-12-20 17:22:06,36,7.79005,7.7875499999999995,7.7887423472222155,0.0003209760817023294,8411841.734998677,0.00011328885854365371,0.00012328885854365372,1e-05
2022-12-20 17:29:16,37,7.78975,7.787649999999999,7.788563861111115,0.00026962608735686086,6134421.250607198,-2.2915909031754388e-05,-1.2915909031754387e-05,1e-05
2022-12-20 17:36:41,38,7.78845,7.7875499999999995,7.787845277777771,0.0001155646995926681,8021480.636106051,-9.226133933771077e-05,-8.226133933771077e-05,1e-05
2022-12-20 17:43:46,39,7.78855,7.78775,7.788154722222224,0.00010272009590631821,26440785.281947363,3.973428251527431e-05,4.9734282515274306e-05,1e-05
2022-12-20 17:51:10,40,7.78855,7.787649999999999,7.788077513888888,0.000115561253518028,39061535.441858105,-9.913559256247864e-06,8.644074375213711e-08,1e-05
2022-12-20 17:58:07,41,7.789149999999999,7.787850000000001,7.788584583333339,0.00016691094332859846,7692725.080776653,6.510842291266465e-05,7.510842291266465e-05,1e-05
2022-12-20 18:04:53,42,7.78945,7.787649999999999,7.788617500000023,0.00023110648327525761,15949357.83610111,4.226270682655492e-06,1.4226270682655493e-05,1e-05
2022-12-20 18:11:43,43,7.78875,7.787495,7.788110347222228,0.00016114306860688855,13056720.454621268,-6.511460831073951e-05,-5.511460831073951e-05,1e-05
2022-12-20 18:18:27,44,7.7886500000000005,7.786105,7.788155819444445,0.00032677825906441695,11983661.370899368,5.838672051324542e-06,1.5838672051324543e-05,1e-05
2022-12-20 18:24:51,45,7.78845,7.7876,7.787998347222218,0.00010914229332148855,15612646.098435123,-2.0219449363625724e-05,-1.0219449363625723e-05,1e-05
2022-12-20 18:31:47,46,7.78875,7.78795,7.788217833333321,0.00010271926352341325,23676182.2133359,2.818260884469509e-05,3.8182608844695093e-05,1e-05
