inserttime,period,max,min,mean,vol,fd,returnVal,returnVal_predict,error
2022-12-20 12:30:06,1,1.36395,1.363015,1.3634258472222227,0.0006857725353416407,,,,
2022-12-20 12:38:55,2,1.36425,1.363745,1.3639470833333327,0.0003702489679920827,1434170.1014852114,0.00038229883361235345,0.0003922988336123535,1e-05
2022-12-20 12:47:39,3,1.36415,1.36308,1.3636663333333345,0.0007846494218159697,1649144.1451714884,-0.00020583643121406374,-0.00019583643121406374,1e-05
2022-12-20 12:56:12,4,1.3632499999999999,1.36206,1.3628725416666658,0.0008731557527342531,552020.6429272622,-0.0005821010956018623,-0.0005721010956018622,1e-05
2022-12-20 13:04:52,5,1.3630849999999999,1.36199,1.3624803194444417,0.0008036813335009036,663198.1828894882,-0.00028779083166828974,-0.0002777908316682897,1e-05
2022-12-20 13:12:56,6,1.3625500000000001,1.362015,1.362234374999999,0.000392737116181035,1163628.2418220502,-0.00018051229139440922,-0.00017051229139440922,1e-05
2022-12-20 13:21:22,7,1.3624749999999999,1.36195,1.362226805555556,0.00038539837702413756,2610286.0312174954,-5.556638844195217e-06,4.443361155804784e-06,1e-05
2022-12-20 13:29:23,8,1.36265,1.36185,1.362290652777778,0.0005872461932911838,1425296.5954689072,4.6869744422655864e-05,5.6869744422655863e-05,1e-05
2022-12-20 13:37:41,9,1.36202,1.36086,1.3613485138888899,0.0008520962767178122,997539.859315092,-0.0006915843450640278,-0.0006815843450640278,1e-05
2022-12-20 13:46:54,10,1.3615499999999998,1.360665,1.3610393750000012,0.0006502383518476839,624386.4251413827,-0.00022708284156099516,-0.00021708284156099516,1e-05
2022-12-20 13:55:41,11,1.36175,1.3609499999999999,1.3613334305555567,0.0005876591157198395,1010790.0721873316,0.00021605220315944608,0.00022605220315944608,1e-05
2022-12-20 14:04:25,12,1.3615499999999998,1.36076,1.3611808194444446,0.0005803784395979652,1045869.3131682766,-0.0001121041382564215,-0.0001021041382564215,1e-05
2022-12-20 14:13:05,13,1.36175,1.36086,1.3613258611111116,0.000653774401430706,991167.5932583633,0.0001065557673125786,0.0001165557673125786,1e-05
2022-12-20 14:22:06,14,1.36165,1.360875,1.3612138750000005,0.000569344769571916,853612.8300000331,-8.226253119130589e-05,-7.226253119130589e-05,1e-05
2022-12-20 14:30:16,15,1.36175,1.36105,1.361361347222224,0.0005141911818109357,1209666.7971033095,0.00010833875920008797,0.00011833875920008797,1e-05
2022-12-20 14:38:55,16,1.36195,1.36125,1.3615370277777765,0.0005141248351816206,1233163.5365874362,0.00012904770354401566,0.00013904770354401566,1e-05
2022-12-20 14:47:04,17,1.36206,1.361415,1.3617370000000006,0.0004736597448699759,1268843.313178282,0.00014687240827412825,0.00015687240827412825,1e-05
2022-12-20 14:55:14,18,1.36165,1.361305,1.361403597222223,0.00025341493198928656,2600478.1755633093,-0.00024483639482345975,-0.00023483639482345975,1e-05
2022-12-20 15:03:30,19,1.36155,1.36082,1.3611879166666676,0.0005362962681800564,3000207.339611383,-0.00015842514005059893,-0.00014842514005059893,1e-05
2022-12-20 15:12:34,20,1.36195,1.36082,1.3613900277777764,0.0008300339924221397,986706.5776548004,0.00014848141732240144,0.00015848141732240144,1e-05
2022-12-20 15:21:39,21,1.36165,1.36125,1.3613756805555566,0.00029382043892301797,1177589.9636806862,-1.0538656760431112e-05,-5.386567604311113e-07,1e-05
2022-12-20 15:30:35,22,1.36165,1.36112,1.3613680555555565,0.000389314262103523,3801556.079665151,-5.6009521170195725e-06,4.399047882980428e-06,1e-05
2022-12-20 15:39:41,23,1.3615499999999998,1.36105,1.3613097222222228,0.00036729334393022277,2450357.500001359,-4.2849054005391965e-05,-3.2849054005391966e-05,1e-05
2022-12-20 15:47:42,24,1.3615499999999998,1.361005,1.361198083333334,0.0004003825796354244,2622491.7201844705,-8.200844162534547e-05,-7.200844162534547e-05,1e-05
2022-12-20 15:55:41,25,1.3615499999999998,1.3611499999999999,1.3613501527777772,0.0002938259485877112,3369341.6281253695,0.00011171735128427867,0.00012171735128427867,1e-05
2022-12-20 16:03:53,26,1.36175,1.3608,1.3613430694444455,0.0006978402588758869,2235468.6192982323,-5.20316783834464e-06,4.796832161655361e-06,1e-05
2022-12-20 16:11:33,27,1.3611499999999999,1.360495,1.3607404861111143,0.00048135556095033733,1209085.4395677096,-0.0004426388519222387,-0.0004326388519222387,1e-05
2022-12-20 16:20:31,28,1.36105,1.3606500000000001,1.3607889444444456,0.0002939471265055431,2401792.4869447113,3.5611737745693124e-05,4.561173774569312e-05,1e-05
2022-12-20 16:28:04,29,1.36125,1.360705,1.3608848611111113,0.0004004747319733175,3635685.060142594,7.048607137589558e-05,8.048607137589558e-05,1e-05
2022-12-20 16:36:04,30,1.3611900000000001,1.3606500000000001,1.360913027777775,0.00039679243932416974,2542891.194495951,2.0697317949972152e-05,3.069731794997215e-05,1e-05
