window,balance,returnVal,position,balance_pre,returnVal_predict
1,200.00088609437594,0.0008860943759404854,LONG,200,0
2,300.0007743401371,-0.00011175423879185157,LONG,300,0
3,400.0002614555232,-0.0005128846139473825,LONG,400,0
4,500.0001191282897,-0.0001423272334749911,LONG,500,0
5,600.0004418788066,0.00032275051686928366,LONG,600,0
6,700.001086166617,0.0006442878105209427,LONG,700,0
7,800.0016548158429,0.0005686492259347107,LONG,800,0
8,900.0021610686233,0.0005062527804130783,LONG,900,0
