window,balance,returnVal,position,balance_pre,returnVal_predict
1,199.9986086404922,-0.0013913595077925827,LONG,200,0
2,299.99907609667895,0.00046745618674203627,LONG,300,0
3,400.00008041154473,0.0010043148657754599,LONG,400,0
4,499.9999250554636,-0.00015535608112798968,LONG,500,0
5,599.999880281424,-4.477403957218296e-05,LONG,600,0
6,599.9993230769792,-0.000557204444834205,LONG,700,0
7,699.9998357571855,0.000512680206294461,LONG,800,0
8,699.9988488001368,-0.0009869570486214715,LONG,900,0
