window,balance,returnVal,position,balance_pre,returnVal_predict
1,200.00007314626757,7.31462675563626e-05,SHORT,300.0000731462676,0
2,300.0000943717989,2.1225531355488622e-05,SHORT,400.0000731462676,0
3,400.0001644101713,7.003837238255072e-05,SHORT,500.0000731462676,0
4,500.0002092510992,4.4840927882044905e-05,SHORT,600.0000731462676,0
5,600.0002148914328,5.640333599858865e-06,SHORT,700.0000731462676,0
6,700.0003692603016,0.0001543688687419494,SHORT,800.0000731462676,0
7,800.000715709802,0.0003464495003710973,SHORT,900.0000731462676,0
8,900.0008121441484,9.643434641523805e-05,SHORT,1000.0000731462676,0
