inserttime,period,max,min,mean,vol,fd,returnVal,returnVal_predict,error
2022-12-20 12:30:06,1,1.215,1.2135850000000001,1.2142319999999995,0.001165345667055344,,,,
2022-12-20 12:38:54,2,1.2143,1.2134049999999998,1.2138557777777774,0.0007373198829588957,568274.3808813826,-0.00030984377138974377,-0.00029984377138974374,1e-05
2022-12-20 12:47:41,3,1.2142,1.213345,1.213796166666667,0.0007044016314106967,843268.9157894244,-4.91088910245536e-05,-3.91088910245536e-05,1e-05
2022-12-20 12:56:12,4,1.214915,1.2133,1.2140227500000007,0.0013302880856227127,514926.05804956076,0.0001866732978370995,0.0001966732978370995,1e-05
2022-12-20 13:04:53,5,1.214795,1.213415,1.2140901249999994,0.0011366536730542632,333434.89664851216,5.5497312549248636e-05,6.549731254924863e-05,1e-05
2022-12-20 13:12:56,6,1.2143950000000001,1.21341,1.213813708333332,0.0008114919062435876,483060.886971228,-0.00022767392714551085,-0.00021767392714551085,1e-05
2022-12-20 13:21:21,7,1.2149,1.2135,1.214345583333333,0.0011528843347518262,693044.3722023471,0.0004381850331310458,0.00044818503313104585,1e-05
2022-12-20 13:29:23,8,1.2151,1.2142849999999998,1.2146718333333324,0.0006709631174732101,439666.4918199153,0.00026866322443720947,0.0002786632244372095,1e-05
2022-12-20 13:37:41,9,1.2158,1.2146,1.2152488750000006,0.0009874520558598248,712946.0066666136,0.000475059724637422,0.00048505972463742204,1e-05
2022-12-20 13:46:54,10,1.2159,1.21426,1.2151497777777769,0.0013496278648046664,427525.2571815491,-8.154479651229983e-05,-7.154479651229983e-05,1e-05
2022-12-20 13:55:36,11,1.2148500000000002,1.21387,1.2143469722222224,0.0008070181113119829,529108.3236110016,-0.0006606638706074537,-0.0006506638706074536,1e-05
2022-12-20 14:04:25,12,1.2151,1.2138499999999999,1.2145874305555557,0.001029156048015779,692800.6703887808,0.00019801452042431664,0.00020801452042431664,1e-05
2022-12-20 14:13:06,13,1.2157399999999998,1.2143,1.2150409722222224,0.001185145219725578,393200.7590663893,0.00037341211942166797,0.000383412119421668,1e-05
2022-12-20 14:22:06,14,1.2157,1.2151,1.2153872777777777,0.0004936698046543469,830514.6398149062,0.0002850155373130272,0.0002950155373130272,1e-05
2022-12-20 14:30:19,15,1.2158799999999998,1.2153,1.2155059305555576,0.00047716756078245446,1446032.9173855514,9.762548938050303e-05,0.00010762548938050303,1e-05
2022-12-20 14:38:55,16,1.216,1.2153,1.2155733333333358,0.0005758599508598862,1531622.400000172,5.5452446659370376e-05,6.545244665937037e-05,1e-05
2022-12-20 14:47:04,17,1.21643,1.2154,1.2157668333333338,0.0008472019237240233,775493.9898059276,0.00015918414355746435,0.00016918414355746435,1e-05
2022-12-20 14:55:13,18,1.21666,1.2161,1.2163853611111104,0.00046038041718011346,1201180.5440969728,0.0005087552652516022,0.0005187552652516022,1e-05
2022-12-20 15:03:30,19,1.2170649999999998,1.215935,1.2165831666666667,0.0009288308690773326,1107844.3172567808,0.00016261750747771002,0.00017261750747771002,1e-05
2022-12-20 15:12:34,20,1.2168,1.216285,1.2165231527777796,0.0004233376067065429,866920.3826590439,-4.9329869532498435e-05,-3.9329869532498436e-05,1e-05
2022-12-20 15:21:40,21,1.21718,1.2164700000000002,1.2168720138888889,0.0005834631677745164,1465388.1294018906,0.0002867689861164919,0.00029676898611649195,1e-05
2022-12-20 15:30:32,22,1.217,1.2162,1.2165342222222224,0.0006576058325254406,1020368.0788887182,-0.0002775901350438316,-0.0002675901350438316,1e-05
2022-12-20 15:39:41,23,1.2172,1.2166,1.216894652777775,0.0004930582927869318,1196613.0752311677,0.0002962765444397361,0.00030627654443973615,1e-05
2022-12-20 15:47:42,24,1.2175,1.2169750000000001,1.2172271666666645,0.00043130815214844525,1588191.6365082765,0.00027324788397288096,0.000283247883972881,1e-05
2022-12-20 15:55:41,25,1.2174550000000002,1.2167949999999998,1.2170837916666646,0.0005422798368685268,1268717.6494943188,-0.0001177882025033776,-0.0001077882025033776,1e-05
2022-12-20 16:03:53,26,1.2176,1.217,1.2173149444444422,0.000492888058869401,1572365.1365742446,0.00018992347064378666,0.00019992347064378666,1e-05
2022-12-20 16:11:33,27,1.2177,1.2172550000000002,1.2175507638888887,0.00036548784099848543,1693626.7929158418,0.0001937209803615192,0.00020372098036151919,1e-05
2022-12-20 16:20:29,28,1.218,1.2176,1.2177458055555548,0.00032847577727230983,2953033.578472546,0.00016019181495405946,0.00017019181495405946,1e-05
2022-12-20 16:28:04,29,1.2182,1.2176,1.2178598472222213,0.0004926675276867492,2985786.3921068083,9.36498127492883e-05,0.0001036498127492883,1e-05
2022-12-20 16:36:05,30,1.2184,1.218,1.218189472222222,0.0003283561458385252,2016103.5765279992,0.0002706592230234847,0.0002806592230234847,1e-05
2022-12-20 16:43:19,31,1.2185,1.218,1.2182505000000003,0.00041042462120881117,2307366.447000255,5.0097114751009643e-05,6.009711475100964e-05,1e-05
2022-12-20 16:51:30,32,1.2184,1.218,1.2182403611111121,0.0003283424295966772,2320747.887916924,-8.32249926286397e-06,1.6775007371360302e-06,1e-05
2022-12-20 16:59:10,33,1.2189,1.218165,1.2185601944444426,0.0006031708596350862,2062433.8529096227,0.00026253713432939724,0.00027253713432939727,1e-05
2022-12-20 17:06:57,34,1.2186,1.2177,1.2180648888888883,0.0007388768925281769,917608.8829630637,-0.0004064678608512585,-0.00039646786085125845,1e-05
2022-12-20 17:14:22,35,1.21834,1.2177,1.2180310833333328,0.0005254381507641937,932555.048177121,-2.7753493154524063e-05,-1.7753493154524064e-05,1e-05
