window,balance,returnVal,position,balance_pre,returnVal_predict
1,199.99950680709406,-0.0004931929059378477,SHORT,299.99950680709406,0
2,299.9973282701789,-0.0021785369151424254,SHORT,399.99950680709406,0
3,399.9966988931932,-0.0006293769857429118,SHORT,499.99950680709406,0
4,499.9971815418379,0.00048264864472897845,SHORT,599.9995068070941,0
5,599.9973010479805,0.0001195061426350895,SHORT,699.9995068070941,0
6,599.9987782804257,0.001477232445112256,SHORT,799.9995068070941,0
7,600.0002622298158,0.0014839493902038651,SHORT,899.9995068070941,0
8,600.0018064516782,0.0015442218624541894,SHORT,999.9995068070941,0
