window,balance,returnVal,position,balance_pre,returnVal_predict
1,199.99902054708573,-0.0009794529142760468,SHORT,299.9990205470857,0
2,299.99819684235837,-0.0008237047273167172,SHORT,399.9990205470857,0
3,399.9973032984315,-0.0008935439268639346,SHORT,499.9990205470857,0
4,499.997124502839,-0.00017879559253149727,SHORT,599.9990205470857,0
5,599.9956433331532,-0.0014811696857352985,SHORT,699.9990205470857,0
6,599.9961678324594,0.000524499306144829,SHORT,799.9990205470857,0
7,699.9961683672506,5.347911839566257e-07,SHORT,899.9990205470857,0
8,699.9998046359212,0.003636268670703669,SHORT,999.9990205470857,0
