window,balance,returnVal,position,balance_pre,returnVal_predict
1,200.00026245031648,0.0002624503164743996,SHORT,300.0002624503165,0
2,300.00032418082765,6.173051115349447e-05,SHORT,400.0002624503165,0
3,400.00011577288706,-0.00020840794060093907,SHORT,500.0002624503165,0
4,500.00010679487133,-8.978015715531206e-06,SHORT,600.0002624503165,0
5,599.9999801838884,-0.00012661098287852977,SHORT,700.0002624503165,0
6,700.0000337367284,5.355283998792807e-05,SHORT,800.0002624503165,0
7,800.0004240613493,0.00039032462101636225,SHORT,900.0002624503165,0
8,800.001030022507,0.0006059611577000925,SHORT,1000.0002624503165,0
