window,balance,returnVal,position,balance_pre,returnVal_predict
1,199.99824870410268,-0.0017512958973128336,LONG,200,0
2,299.9985064241572,0.0002577200544908719,LONG,300,0
3,399.9981560975113,-0.00035032664591293195,LONG,400,0
4,499.9982209218022,6.482429089490227e-05,LONG,500,0
5,499.9976420872073,-0.0005788345949426892,LONG,600,0
6,599.9977924465186,0.0001503593113399589,LONG,700,0
7,599.9972738334238,-0.0005186130947661496,LONG,800,0
8,699.9984633966801,0.001189563256222119,LONG,900,0
